date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,2017-11,0.0
2017-11-28,3223,166,1345,15047,2017-11,14450.54
2017-11-29,3277,133,1397,14159,2017-11,13411.96
2017-11-30,3002,150,1335,15766,2017-11,13290.25
2017-12-01,2559,107,1256,12524,2017-12,9687.28
2017-12-02,402,32,287,3313,2017-12,1443.2600000000002
2017-12-03,1942,90,977,8544,2017-12,6432.9400000000005
2017-12-04,2869,123,1354,12751,2017-12,13137.5
2017-12-05,2440,170,1196,12604,2017-12,9467.009999999998
2017-12-06,2470,114,1308,10510,2017-12,11268.539999999999
2017-12-07,2492,123,1229,11985,2017-12,10976.6
2017-12-08,1542,121,876,7922,2017-12,4898.32
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,1776,77,980,8521,2017-12,4982.87
2017-12-11,4117,122,1596,17017,2017-12,19866.980000000003
2017-12-12,2004,123,1031,11127,2017-12,10012.130000000001
2017-12-13,3216,106,1421,14280,2017-12,15879.660000000002
2017-12-14,1965,162,1067,9505,2017-12,7701.580000000002
2017-12-15,2057,84,1123,8973,2017-12,10970.560000000001
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,637,40,468,4013,2017-12,1964.79
2017-12-18,645,52,467,3212,2017-12,2846.58
2017-12-19,2053,203,1146,5218,2017-12,13350.100000000002
2017-12-20,540,32,377,3028,2017-12,2268.31
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,668,70,521,3005,2018-01,1966.5500000000002
2018-01-02,938,46,634,5603,2018-01,3061.2700000000004
2018-01-03,294,14,250,1994,2018-01,965.8499999999999
2018-01-04,1065,87,695,8499,2018-01,3373.16
2018-01-05,719,49,505,5463,2018-01,4979.93
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,704,37,489,4702,2018-01,2080.1
2018-01-08,2688,74,1082,8682,2018-01,14429.400000000001
2018-01-09,1107,65,775,5678,2018-01,3799.58
2018-01-10,1644,64,927,5706,2018-01,11600.81
2018-01-11,2230,87,1062,9615,2018-01,12228.630000000001
2018-01-12,662,53,441,4534,2018-01,2084.96
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,1116,41,684,5700,2018-01,3438.31
2018-01-15,1908,50,1008,6112,2018-01,8908.33
2018-01-16,1859,51,1068,8924,2018-01,7847.691000000001
2018-01-17,1224,80,810,5168,2018-01,7021.910000000001
2018-01-18,1228,88,780,7288,2018-01,3854.6
2018-01-19,1520,77,888,8369,2018-01,9419.02
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,1271,52,706,5892,2018-01,4022.23
2018-01-22,1699,72,920,7689,2018-01,7017.8099999999995
2018-01-23,1588,168,853,8009,2018-01,15461.13
2018-01-24,1560,85,887,7649,2018-01,6385.55
2018-01-25,1254,83,752,7821,2018-01,3804.1400000000003
2018-01-26,1209,82,718,6193,2018-01,23966.840999999997
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,1400,58,796,7490,2018-01,3953.5600000000004
2018-01-29,1399,82,841,6337,2018-01,7421.111
2018-01-30,1177,60,744,7143,2018-01,4616.53
2018-01-31,1551,150,949,7229,2018-01,5971.3910000000005
2018-02-01,1590,143,894,8239,2018-02,4837.9
2018-02-02,1077,147,710,5556,2018-02,4328.16
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,844,35,558,3803,2018-02,2310.46
2018-02-05,1373,75,789,6617,2018-02,6838.370000000001
2018-02-06,1058,58,670,6954,2018-02,3607.21
2018-02-07,884,38,627,2974,2018-02,4111.69
2018-02-08,871,101,554,4781,2018-02,2901.1500000000005
2018-02-09,824,75,612,4153,2018-02,3009.9700000000003
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,1194,51,710,6478,2018-02,3554.99
