date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,2017-11,0.0
2017-11-28,86,3,83,545,2017-11,375.99000000000007
2017-11-29,0,0,0,0,2017-11,0.0
2017-11-30,33,1,33,192,2017-11,194.22000000000003
2017-12-01,0,0,0,0,2017-12,0.0
2017-12-02,0,0,0,0,2017-12,0.0
2017-12-03,0,0,0,0,2017-12,0.0
2017-12-04,64,4,61,403,2017-12,484.65000000000003
2017-12-05,30,5,30,255,2017-12,97.35000000000001
2017-12-06,0,0,0,0,2017-12,0.0
2017-12-07,19,1,19,104,2017-12,133.31
2017-12-08,2,2,2,7,2017-12,20.9
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,14,1,14,126,2017-12,96.24000000000001
2017-12-11,5,1,5,7,2017-12,17.7
2017-12-12,100,2,89,733,2017-12,435.58
2017-12-13,49,1,49,359,2017-12,153.40999999999997
2017-12-14,2,2,1,1,2017-12,1606.5
2017-12-15,156,5,134,1132,2017-12,733.6000000000001
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,1,1,1,0,2017-12,5.95
2017-12-18,35,1,35,408,2017-12,77.68999999999998
2017-12-19,0,0,0,0,2017-12,0.0
2017-12-20,0,0,0,0,2017-12,0.0
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,2,1,2,4,2018-01,14.0
2018-01-02,0,0,0,0,2018-01,0.0
2018-01-03,0,0,0,0,2018-01,0.0
2018-01-04,163,5,158,1826,2018-01,466.55000000000007
2018-01-05,33,4,31,260,2018-01,2463.67
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,0,0,0,0,2018-01,0.0
2018-01-08,1,1,1,8,2018-01,10.95
2018-01-09,0,0,0,0,2018-01,0.0
2018-01-10,3,3,1,9,2018-01,1874.42
2018-01-11,0,0,0,0,2018-01,0.0
2018-01-12,0,0,0,0,2018-01,0.0
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,0,0,0,0,2018-01,0.0
2018-01-15,0,0,0,0,2018-01,0.0
2018-01-16,49,1,49,320,2018-01,209.51999999999998
2018-01-17,8,5,6,41,2018-01,2277.02
2018-01-18,74,1,74,759,2018-01,247.62999999999997
2018-01-19,124,6,118,930,2018-01,3644.4900000000002
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,0,0,0,0,2018-01,0.0
2018-01-22,23,1,23,172,2018-01,146.11999999999995
2018-01-23,14,14,1,13,2018-01,1682.47
2018-01-24,0,0,0,0,2018-01,0.0
2018-01-25,62,1,62,524,2018-01,182.52
2018-01-26,0,0,0,0,2018-01,0.0
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,24,1,24,254,2018-01,60.8
2018-01-29,0,0,0,0,2018-01,0.0
2018-01-30,107,5,100,999,2018-01,1545.5800000000002
2018-01-31,0,0,0,0,2018-01,0.0
2018-02-01,0,0,0,0,2018-02,0.0
2018-02-02,0,0,0,0,2018-02,0.0
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,34,1,34,436,2018-02,65.28
2018-02-05,23,3,22,132,2018-02,865.3000000000001
2018-02-06,0,0,0,0,2018-02,0.0
2018-02-07,0,0,0,0,2018-02,0.0
2018-02-08,0,0,0,0,2018-02,0.0
2018-02-09,0,0,0,0,2018-02,0.0
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,22,1,22,215,2018-02,89.69
2018-02-12,10,2,10,40,2018-02,28.769999999999996
2018-02-13,53,2,53,241,2018-02,138.18000000000004
2018-02-14,101,3,99,909,2018-02,386.04999999999995
2018-02-15,2,2,2,5,2018-02,11.549999999999999
2018-02-16,0,0,0,0,2018-02,0.0
2018-02-17,0,0,0,0,2018-02,0.0
2018-02-18,39,1,39,295,2018-02,178.85
