date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-01,0,0,0,0,2017-11,0.0
2017-11-02,0,0,0,0,2017-11,0.0
2017-11-03,0,0,0,0,2017-11,0.0
2017-11-04,0,0,0,0,2017-11,0.0
2017-11-05,0,0,0,0,2017-11,0.0
2017-11-06,0,0,0,0,2017-11,0.0
2017-11-07,0,0,0,0,2017-11,0.0
2017-11-08,0,0,0,0,2017-11,0.0
2017-11-09,0,0,0,0,2017-11,0.0
2017-11-10,0,0,0,0,2017-11,0.0
2017-11-11,0,0,0,0,2017-11,0.0
2017-11-12,0,0,0,0,2017-11,0.0
2017-11-13,0,0,0,0,2017-11,0.0
2017-11-14,0,0,0,0,2017-11,0.0
2017-11-15,0,0,0,0,2017-11,0.0
2017-11-16,0,0,0,0,2017-11,0.0
2017-11-17,0,0,0,0,2017-11,0.0
2017-11-18,0,0,0,0,2017-11,0.0
2017-11-19,0,0,0,0,2017-11,0.0
2017-11-20,0,0,0,0,2017-11,0.0
2017-11-21,0,0,0,0,2017-11,0.0
2017-11-22,0,0,0,0,2017-11,0.0
2017-11-23,0,0,0,0,2017-11,0.0
2017-11-24,0,0,0,0,2017-11,0.0
2017-11-25,0,0,0,0,2017-11,0.0
2017-11-26,0,0,0,0,2017-11,0.0
2017-11-27,0,0,0,0,2017-11,0.0
2017-11-28,44,1,44,367,2017-11,139.03
2017-11-29,2,1,2,5,2017-11,4.6
2017-11-30,3,1,3,2,2017-11,12.850000000000001
2017-12-01,0,0,0,0,2017-12,0.0
2017-12-02,0,0,0,0,2017-12,0.0
2017-12-03,13,1,13,98,2017-12,49.2
2017-12-04,44,3,39,444,2017-12,151.98
2017-12-05,0,0,0,0,2017-12,0.0
2017-12-06,44,4,41,422,2017-12,376.69999999999993
2017-12-07,0,0,0,0,2017-12,0.0
2017-12-08,5,2,5,13,2017-12,13.350000000000001
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,4,1,4,34,2017-12,30.32
2017-12-11,190,6,143,1724,2017-12,489.39
2017-12-12,0,0,0,0,2017-12,0.0
2017-12-13,0,0,0,0,2017-12,0.0
2017-12-14,1,1,1,1,2017-12,3.25
2017-12-15,23,5,21,109,2017-12,105.39
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,17,1,17,134,2017-12,66.0
2017-12-18,25,1,25,273,2017-12,76.68
2017-12-19,0,0,0,0,2017-12,0.0
2017-12-20,5,1,5,10,2017-12,7.050000000000001
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,3,1,3,8,2018-01,16.29
2018-01-02,0,0,0,0,2018-01,0.0
2018-01-03,0,0,0,0,2018-01,0.0
2018-01-04,14,2,14,66,2018-01,47.55
2018-01-05,0,0,0,0,2018-01,0.0
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,0,0,0,0,2018-01,0.0
2018-01-08,34,4,33,213,2018-01,111.49
2018-01-09,89,4,80,871,2018-01,259.45
2018-01-10,40,2,40,347,2018-01,144.57
2018-01-11,47,3,46,334,2018-01,154.92
2018-01-12,8,2,8,26,2018-01,23.27
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,0,0,0,0,2018-01,0.0
2018-01-15,2,1,2,6,2018-01,6.7
2018-01-16,2,1,2,4,2018-01,3.64
2018-01-17,0,0,0,0,2018-01,0.0
2018-01-18,0,0,0,0,2018-01,0.0
2018-01-19,131,2,122,1161,2018-01,352.31
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,40,1,40,332,2018-01,104.07
2018-01-22,11,1,11,22,2018-01,34.7
2018-01-23,86,12,76,841,2018-01,408.53
2018-01-24,0,0,0,0,2018-01,0.0
2018-01-25,9,3,9,20,2018-01,32.74999999999999
2018-01-26,0,0,0,0,2018-01,0.0
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,99,1,99,757,2018-01,288.7800000000001
2018-01-29,39,2,38,365,2018-01,126.26000000000002
2018-01-30,1,1,1,3,2018-01,0.85
2018-01-31,4,2,4,30,2018-01,5.300000000000001
2018-02-01,17,2,17,152,2018-02,48.38
2018-02-02,47,2,45,173,2018-02,154.82999999999998
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,7,1,7,43,2018-02,43.1
2018-02-05,60,3,54,490,2018-02,212.97000000000003
2018-02-06,90,5,78,780,2018-02,277.80999999999995
2018-02-07,15,1,15,126,2018-02,53.260000000000005
2018-02-08,17,3,17,138,2018-02,41.8
2018-02-09,48,3,48,427,2018-02,103.82
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,0,0,0,0,2018-02,0.0
2018-02-12,50,2,49,321,2018-02,161.71999999999997
2018-02-13,3,1,3,6,2018-02,10.850000000000001
2018-02-14,2,1,2,4,2018-02,1.7
2018-02-15,10,1,10,102,2018-02,20.56
2018-02-16,0,0,0,0,2018-02,0.0
2018-02-17,0,0,0,0,2018-02,0.0
2018-02-18,0,0,0,0,2018-02,0.0
2018-02-19,1,1,1,2,2018-02,3.75
